EventId,EventTemplate
E1,"LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate"
E2,"<*> cache parity error corrected,E77,instruction cache parity error corrected"
E3,"<*>,-,<*>,<*>.<*>.<*>,R21-M1-N5-C:J05-U11,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R21-M1-N5-C:J05-U11,RAS,KERNEL,FATAL,program interrupt: fp cr update.............<*>,E100,program interrupt: fp cr update.............<*>"
E4,"<*> instruction cache block touch.<*>,E69,guaranteed instruction cache block touch.<*>"
E5,"<*>,-,<*>,<*>.<*>.<*>,R27-M1-N4-C:J05-U11,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R27-M1-N4-C:J05-U11,RAS,KERNEL,FATAL,guaranteed data cache block touch........<*>,E68,guaranteed data cache block touch........<*>"
E6,"<*> panic! - stopping execution,E108,rts panic! - stopping execution"
E7,"<*> floating point alignment exceptions,E4,<*> floating point alignment exceptions"
E8,"<*>,-,<*>,<*>.<*>.<*>,R23-M0-N7,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R23-M0-N7,NULL,HARDWARE,SEVERE,NodeCard is not fully functional,E94,NodeCard is not fully functional"
E9,"<*> double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions"
E10,"<*>,KERNDTLB,<*>,<*>.<*>.<*>,R30-M0-N9-C:J16-U01,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,E55,data TLB error interrupt"
E11,"<*> interrupt: illegal instruction......<*>,E101,program interrupt: illegal instruction......<*>"
E12,"<*> syndrome register: <*>,E61,exception syndrome register: <*>"
E13,"<*> interrupt: privileged instruction...<*>,E103,program interrupt: privileged instruction...<*>"
E14,"<*>,-,<*>,<*>.<*>.<*>,R20-M1-NB-C:J03-U11,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R20-M1-NB-C:J03-U11,RAS,KERNEL,FATAL,program interrupt: trap instruction.........<*>,E104,program interrupt: trap instruction.........<*>"
E15,"<*> interrupt: imprecise exception......<*>,E102,program interrupt: imprecise exception......<*>"
E16,"<*> state register: <*>,E85,machine state register: <*>"
E17,"<*> point instr. enabled.....<*>,E62,floating point instr. enabled.....<*>"
E18,"<*> interrupt: unimplemented operation..<*>,E105,program interrupt: unimplemented operation..<*>"
E19,"<*> configuration register: <*>,E43,core configuration register: <*>"
E20,"<*>,-,<*>,<*>.<*>.<*>,R24-M0-N7-C:J06-U01,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R24-M0-N7-C:J06-U01,RAS,KERNEL,FATAL,critical input interrupt enable...<*>,E48,critical input interrupt enable...<*>"
E21,"<*>,-,<*>,<*>.<*>.<*>,R27-M1-N3-C:J04-U11,<*>-<*>-<*>-<*>.<*>.<*>.<*>,R27-M1-N3-C:J04-U11,RAS,KERNEL,FATAL,lr:00004ed0 cr:<*> xer:<*> ctr:<*>,E79,lr:<*> cr:<*> xer:<*> ctr:<*>"
